,name,organism,GenBank_ID,UniProt_ID,drugs,drugs_num
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Humans,M31932,P12318,DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112; DB06607; DB11767,19
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Humans,U87560,P31994,DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00098; DB00108; DB00110; DB00111; DB00112; DB11767,19
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Humans,X17652,P31995,DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112,17
BE0004796,DNA,Humans,-,-,DB00003; DB00126; DB00127; DB00131; DB00173; DB00194; DB00236; DB00242; DB00249; DB00262; DB00276; DB00290; DB00291; DB00305; DB00352; DB00385; DB00406; DB00428; DB00432; DB00441; DB00442; DB00445; DB00488; DB00515; DB00526; DB00531; DB00536; DB00544; DB00553; DB00614; DB00631; DB00693; DB00694; DB00709; DB00721; DB00738; DB00779; DB00791; DB00827; DB00845; DB00851; DB00853; DB00888; DB00911; DB00916; DB00928; DB00958; DB00970; DB00987; DB00997; DB01004; DB01008; DB01030; DB01041; DB01042; DB01073; DB01096; DB01099; DB01101; DB01103; DB01123; DB01168; DB01177; DB01181; DB01204; DB01206; DB01262; DB01265; DB01280; DB01610; DB01611; DB01702; DB01987; DB02379; DB02842; DB03148; DB04571; DB04572; DB04858; DB04874; DB04950; DB04961; DB04967; DB04992; DB04996; DB05109; DB05129; DB05245; DB05706; DB06263; DB06328; DB06331; DB06408; DB06420; DB06421; DB06803; DB06810; DB09327; DB09348; DB13145; DB14753,101
BE0000658,Interleukin-2 receptor subunit alpha,Humans,X01057,P01589,DB00004; DB00041; DB00074; DB00111,4
BE0000651,Interleukin-2 receptor subunit beta,Humans,M26062,P14784,DB00004; DB00041; DB00074; DB00111,4
BE0002102,Cytokine receptor common subunit gamma,Humans,D11086,P31785,DB00004; DB00041; DB05943,3
BE0000704,Tumor necrosis factor,Humans,M16441,P01375,DB00005; DB00051; DB00065; DB00608; DB00668; DB00852; DB01041; DB01296; DB01407; DB01411; DB01427; DB02325; DB04956; DB05017; DB05207; DB05218; DB05303; DB05412; DB05470; DB05513; DB05676; DB05744; DB05758; DB05767; DB05869; DB05879; DB05968; DB05992; DB06444; DB06495; DB06674; DB08904; DB08910; DB09221; DB10770; DB10772; DB11967; DB12140; DB13751,39
BE0000949,Tumor necrosis factor receptor superfamily member 1B,Humans,M32315,P20333,DB00005; DB11626,2
BE0001087,Lymphotoxin-alpha,Humans,X01393,P01374,DB00005,1
BE0000203,Gonadotropin-releasing hormone receptor,Humans,L03380,P30968,DB00007; DB00014; DB00050; DB00106; DB00644; DB00666; DB01406; DB05624; DB06494; DB06699; DB06719; DB06785; DB06788; DB06825; DB11619; DB11979,16
BE0000385,Interferon alpha/beta receptor 2,Humans,L42243,P48551,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB05472; DB06152,11
BE0000661,Interferon alpha/beta receptor 1,Humans,J03171,P17181,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB05258; DB05472,11
BE0000211,Plasminogen,Humans,X05199,P00747,DB00009; DB00013; DB00015; DB00029; DB00031; DB00086; DB00302; DB00513; DB03709; DB04925; DB06692; DB09130; DB12831,13
BE0000538,Fibrinogen alpha chain,Humans,AF361104,P02671,DB00009; DB00015; DB00029; DB00031; DB01593; DB04919; DB05099; DB05675; DB06245; DB11300; DB11311; DB11571; DB11572; DB13151; DB14487; DB14533,16
BE0000717,Urokinase plasminogen activator surface receptor,Humans,X51675,Q03405,DB00009; DB00013; DB00015; DB00029; DB00031; DB05476; DB06245,7
BE0000240,Plasminogen activator inhibitor 1,Humans,X04429,P05121,DB00009; DB00013; DB00015; DB00029; DB00031; DB00055; DB00197; DB05254; DB09130,9
BE0000625,Growth hormone-releasing hormone receptor,Humans,L01406,Q02643,DB00010; DB08869,2
BE0000654,Erythropoietin receptor,Humans,M60459,P19235,DB00012; DB00016; DB07637; DB08894; DB09107,5
BE0000895,Urokinase-type plasminogen activator,Humans,X02419,P00749,DB00013; DB00594; DB01725; DB01905; DB01977; DB02287; DB02398; DB02473; DB02526; DB02551; DB02705; DB03046; DB03082; DB03127; DB03136; DB03159; DB03476; DB03729; DB03782; DB03865; DB03876; DB04059; DB04172; DB05254; DB06855; DB06856; DB06857; DB07076; DB07122; DB07129; DB07625; DB07626; DB08072; DB08697,34
BE0001088,Tissue-type plasminogen activator,Humans,L00153,P00750,DB00013; DB00513; DB01088; DB06404; DB07684; DB09213; DB09228,7
BE0000969,Plasminogen activator inhibitor 2,Humans,J02685,P05120,DB00013; DB00031; DB06245,3
BE0002112,Plasma serine protease inhibitor,Humans,J02639,P05154,DB00013; DB00055; DB05413; DB05961,4
BE0000942,Low-density lipoprotein receptor-related protein 2,Humans,U33837,P98164,DB00013; DB00071; DB00798,3
BE0001656,Suppressor of tumorigenicity 14 protein,Humans,AF118224,Q9Y5Y6,DB00013; DB03127,2
BE0002113,Nidogen-1,Humans,M30269,P14543,DB00013,1
BE0000134,Lutropin-choriogonadotropic hormone receptor,Humans,M73746,P22888,DB00014; DB00032; DB00044; DB00050; DB00097; DB06719; DB09126,7
BE0000431,Calcitonin receptor,Humans,L00587,P30988,DB00017; DB01278,2
BE0000793,Granulocyte colony-stimulating factor receptor,Humans,X55721,Q99062,DB00019; DB00099; DB05249; DB13144; DB13200,5
BE0000394,Neutrophil elastase,Humans,Y00477,P08246,DB00019; DB00058; DB00099; DB02341; DB03925; DB05161,6
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Humans,X17648,P15509,DB00020; DB05194; DB05386; DB10770; DB10772; DB11338,6
BE0001036,Interleukin-3 receptor subunit alpha,Humans,M74782,P26951,DB00020; DB14731,2
BE0002115,Cytokine receptor common subunit beta,Humans,M59941,P32927,DB00020; DB05264; DB05943,3
BE0002116,Syndecan-2,Humans,J04621,P34741,DB00020,1
BE0002114,Bone marrow proteoglycan,Humans,Y00809,P13727,DB00020; DB06752,2
BE0004798,L-asparagine,Humans,-,-,DB00023; DB00059; DB14730,3
BE0000490,Thyrotropin receptor,Humans,M73747,P16473,DB00024,1
BE0000216,Coagulation factor X,Humans,K03194,P00742,DB00025; DB00036; DB00100; DB00170; DB00569; DB01109; DB01225; DB03847; DB04673; DB05362; DB05713; DB06228; DB06245; DB06406; DB06552; DB06605; DB06635; DB06920; DB07211; DB07261; DB07277; DB07278; DB07605; DB07629; DB07630; DB07800; DB07804; DB07843; DB07844; DB07847; DB07848; DB07872; DB07875; DB07973; DB07974; DB08143; DB08173; DB08174; DB08426; DB08487; DB08488; DB08495; DB08745; DB08746; DB09075; DB09109; DB09141; DB09258; DB09332; DB11166; DB12364; DB12598; DB13149; DB13150; DB13151; DB13152; DB13192; DB13884; DB13923; DB13933; DB13998; DB13999; DB14738,63
BE0000364,Coagulation factor IX,Humans,K02402,P00740,DB00025; DB00170; DB05131; DB09109; DB09332; DB13150; DB13192; DB13923; DB13998; DB13999; DB14738,11
BE0001043,von Willebrand factor,Humans,X04385,P04275,DB00025; DB05202; DB06081; DB09108; DB09329; DB11606; DB11607; DB13998; DB13999,9
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",Humans,AF023462,O14832,DB00025; DB00126; DB13998; DB13999,4
BE0002118,Asialoglycoprotein receptor 2,Humans,M11025,P07307,DB00025; DB13998; DB13999,3
BE0001098,78 kDa glucose-regulated protein,Humans,M19645,P11021,DB00025; DB00945; DB09130; DB13998; DB13999,5
BE0002109,Calreticulin,Humans,M32294,P27797,DB00025; DB00031; DB01065; DB06245; DB09130; DB11093; DB11348; DB13998; DB13999; DB14481,10
BE0001011,Calnexin,Humans,L10284,P27824,DB00025; DB00031; DB06245; DB11093; DB11348; DB13998; DB13999; DB14481,8
BE0002119,Protein ERGIC-53,Humans,X71661,P49257,DB00025; DB13998; DB13999,3
BE0002110,Prolow-density lipoprotein receptor-related protein 1,Humans,X13916,Q07954,DB00025; DB00031; DB00100; DB06245; DB13152; DB13998; DB13999,7
BE0002120,Multiple coagulation factor deficiency protein 2,Humans,AF475284,Q8NI22,DB00025; DB13998; DB13999,3
BE0000565,Interleukin-1 receptor type 1,Humans,X16896,P14778,DB00026; DB05207; DB05303; DB10770,4
BE0004684,High affinity immunoglobulin gamma Fc receptor IB,Humans,X14356,Q92637,DB00028,1
BE0003455,Complement C3,Humans,AY513239,P01024,DB00028; DB01593; DB01915; DB06492; DB09130; DB14487; DB14533,7
BE0004685,Complement C4-A,Humans,AY513239,P0C0L4,DB00028,1
BE0004686,Complement C4-B,Humans,AY513239,P0C0L5,DB00028; DB01593; DB09130; DB14487; DB14533,5
BE0000855,Complement C5,Humans,M57729,P01031,DB00028; DB01257; DB01593; DB09130; DB11580; DB14487; DB14533,7
BE0000033,Insulin receptor,Humans,M10051,P06213,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB03909; DB05115; DB05120; DB08513; DB09129; DB09564; DB12010; DB12267; DB14751,17
BE0000858,Insulin-like growth factor 1 receptor,Humans,X04434,P08069,DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB04395; DB05023; DB05184; DB05897; DB06075; DB06343; DB07156; DB07474; DB09098; DB09564; DB12250; DB12267; DB14751,21
BE0002123,Retinoblastoma-associated protein,Humans,M15400,P06400,DB00030; DB00071,2
BE0002104,Tetranectin,Humans,X64559,P05452,DB00031; DB06245; DB09130,3
BE0002105,"Keratin, type II cytoskeletal 8",Humans,M34482,P05787,DB00031; DB06245; DB09130,3
BE0001170,Annexin A2,Humans,D00017,P07355,DB00031; DB00591; DB06245; DB11638,4
BE0000387,Follicle-stimulating hormone receptor,Humans,M65085,P23945,DB00032; DB00066; DB00094; DB00097; DB04786; DB09066,6
BE0000711,Interferon gamma receptor 1,Humans,J03143,P15260,DB00033,1
BE0000467,Interferon gamma receptor 2,Humans,U05875,P38484,DB00033,1
BE0000293,Vasopressin V2 receptor,Humans,U04357,P30518,DB00035; DB00067; DB00872; DB02638; DB05091; DB05838; DB06212; DB09059; DB14642,9
BE0000165,Vasopressin V1a receptor,Humans,L25615,P37288,DB00035; DB00067; DB00093; DB00872; DB02638; DB05452; DB06212; DB09059; DB13929; DB14642,10
BE0000773,Vasopressin V1b receptor,Humans,D31833,P47901,DB00035; DB00067; DB02638; DB05452; DB05455; DB09059; DB14642,7
BE0002128,Serine protease hepsin,Humans,M18930,P05981,DB00036; DB00522; DB03297; DB03643; DB03865,5
BE0000967,Tissue factor pathway inhibitor,Humans,J03225,P10646,DB00036; DB06779; DB14562,3
BE0000403,Vitamin K-dependent gamma-carboxylase,Humans,M81592,P38435,DB00036; DB00055; DB00100; DB00142; DB00170; DB01022; DB01125; DB09332; DB13152,9
BE0000333,Coagulation factor VII,Humans,M13232,P08709,DB00036; DB00100; DB00170; DB04590; DB04593; DB04606; DB04758; DB04767; DB06552; DB07207; DB07247; DB07376; DB08232; DB09332; DB13151; DB13152; DB13933,17
BE0001178,Tissue factor,Humans,M16553,P13726,DB00036; DB06552; DB07207; DB07247; DB08232; DB13150,6
BE0000416,Interleukin-11 receptor subunit alpha,Humans,Z38102,Q14626,DB00038,1
BE0000748,Fibroblast growth factor receptor 2,Humans,X52832,P21802,DB00039; DB01041; DB01109; DB01901; DB02058; DB02491; DB08896; DB08901; DB09078; DB09079; DB10770; DB10772; DB12010; DB12147,14
BE0002129,Neuropilin-1,Humans,AF018956,O14786,DB00039; DB04895,2
BE0002131,Fibroblast growth factor receptor 1,Humans,X51803,P11362,DB00039; DB00398; DB01109; DB02058; DB05014; DB07525; DB07840; DB08577; DB08896; DB08901; DB09078; DB09079; DB12010; DB12147,14
BE0001203,Fibroblast growth factor receptor 4,Humans,X57205,P22455,DB00039; DB01109; DB08901; DB09078; DB12147,5
BE0002133,Fibroblast growth factor receptor 3,Humans,M58051,P22607,DB00039; DB05014; DB06589; DB08901; DB09078; DB09079; DB12010; DB12147,8
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,Humans,X62515,P98160,DB00039,1
BE0000527,Glucagon receptor,Humans,U03469,P47871,DB00040,1
BE0002134,Glucagon-like peptide 2 receptor,Humans,AF105367,O95838,DB00040; DB08900,2
BE0000857,Glucagon-like peptide 1 receptor,Humans,U01104,P43220,DB00040; DB01276; DB06655; DB09043; DB09045; DB09265; DB13928,7
BE0002137,Vesicle-associated membrane protein 2,Humans,M36205,P63027,DB00042,1
BE0002136,Vesicle-associated membrane protein 1,Humans,M36200,P23763,DB00042,1
BE0002138,Synaptotagmin-2,Humans,AK090672,Q8N9I0,DB00042,1
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,Humans,X06948,P12319,DB00043; DB00895; DB05797,3
BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,Humans,D10583,Q01362,DB00043,1
BE0001164,Toll-like receptor 2,Humans,AF051152,O60603,DB00045; DB03963; DB05475; DB11601,4
BE0000025,Collagen alpha-1(I) chain,Humans,Z74615,P02452,DB00048; DB04866; DB11338; DB12872; DB13133,5
BE0002140,Collagen alpha-1(II) chain,Humans,X16468,P02458,DB00048,1
BE0002130,Collagen alpha-1(III) chain,Humans,X14420,P02461,DB00048,1
BE0002141,Collagen alpha-2(I) chain,Humans,J03464,P08123,DB00048,1
BE0004823,Uric acid,Humans,-,-,DB00049; DB09208,2
BE0000075,Growth hormone receptor,Humans,X06562,P10912,DB00052; DB00082; DB09098,3
BE0000345,Prolactin receptor,Humans,M31661,P16471,DB00052; DB01185,2
BE0004806,Glucocerebroside,Humans,-,-,DB00053; DB00088; DB08876,3
BE0001155,Integrin beta-3,Humans,J02703,P05106,DB00054; DB00063; DB00098; DB00451; DB00775; DB02709; DB04863; DB05787; DB06472,9
BE0000439,Integrin alpha-IIb,Humans,J02764,P08514,DB00054; DB00775; DB04863; DB06472,4
BE0001068,Vitronectin,Humans,X03168,P04004,DB00054; DB01593; DB09130; DB14487; DB14533,5
BE0000016,Coagulation factor VIII,Humans,M14113,P00451,DB00055; DB00100; DB06050; DB11300; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700,12
BE0000041,Coagulation factor V,Humans,M16967,P12259,DB00055; DB05777; DB11300; DB11571; DB11572; DB13149; DB13151,7
BE0001151,Thrombomodulin,Humans,X05495,P07204,DB00055; DB01050; DB09213,3
BE0000943,Vitamin K-dependent protein S,Humans,M15036,P07225,DB00055; DB00170; DB00464; DB09332,4
BE0001140,Ceruloplasmin,Humans,M13699,P00450,DB00055; DB01373; DB01592; DB01593; DB12965; DB14487; DB14488; DB14489; DB14490; DB14491; DB14501; DB14533,12
BE0001129,Platelet factor 4,Humans,M25897,P02776,DB00055; DB01109,2
BE0002142,Serpin B6,Humans,Z22658,P35237,DB00055,1
BE0001161,Endothelial protein C receptor,Humans,L35545,Q9UNN8,DB00055; DB04327; DB11328,3
BE0000674,Myeloid cell surface antigen CD33,Humans,M23197,P20138,DB00056; DB06318,2
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),Humans,-,-,DB00057,1
BE0004828,Adenosine,Humans,-,-,DB00061,1
BE0000917,Growth factor receptor-bound protein 2,Humans,M96995,P62993,DB00061; DB03276,2
BE0009576,Nitric oxide,Humans,-,-,DB00062,1
BE0004821,Hyaluronan,Humans,-,-,DB00070; DB06205,2
BE0000984,Transforming growth factor beta-1,Humans,X05839,P01137,DB00070; DB01162; DB06205; DB10770; DB10772,5
BE0001183,Insulin-degrading enzyme,Humans,M21188,P14735,DB00071; DB00626,2
BE0002122,"HLA class II histocompatibility antigen, DQ alpha 2 chain",Humans,M29615,P01906,DB00071,1
BE0004466,"HLA class II histocompatibility antigen, DQ beta 1 chain",Humans,M29615,P01920,DB00071,1
BE0000941,Cathepsin D,Humans,M11233,P07339,DB00071; DB02216; DB03028; DB03096; DB07542; DB08740,6
BE0001123,Carboxypeptidase E,Humans,X51405,P16870,DB00071,1
BE0002124,Neuroendocrine convertase 2,Humans,J05252,P16519,DB00071,1
BE0002125,Neuroendocrine convertase 1,Humans,X64810,P29120,DB00071,1
BE0001147,Protein NOV homolog,Humans,X78351,P48745,DB00071,1
BE0002126,Insulin-like growth factor-binding protein 7,Humans,L19182,Q16270,DB00071,1
BE0002127,Synaptotagmin-like protein 4,Humans,AK094110,Q96C24,DB00071,1
BE0000511,Receptor tyrosine-protein kinase erbB-2,Humans,M11767,P04626,DB00072; DB01259; DB04988; DB05773; DB05944; DB06021; DB06366; DB08916; DB11652; DB11973; DB12010; DB12267,12
BE0000066,B-lymphocyte antigen CD20,Humans,X12530,P11836,DB00073; DB00078; DB00081; DB06650; DB08935; DB09336; DB11988,7
BE0003456,T-cell surface glycoprotein CD3 delta chain,Humans,X01451,P04234,DB00075; DB09052,2
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,Humans,X03884,P07766,DB00075; DB06607,2
BE0003457,T-cell surface glycoprotein CD3 gamma chain,Humans,BC113830,P09693,DB00075,1
BE0003458,T-cell surface glycoprotein CD3 zeta chain,Humans,BC025703,P20963,DB00075,1
BE0004837,Digoxin,Humans,-,-,DB00076,1
BE0004833,Bacterial outer membrane,,-,-,DB00080; DB00803; DB00878; DB01111; DB00781,5
BE0004832,Lipoteichoic acid synthesis,Gram positive bacteria,-,-,DB00080,1
BE0000390,Synaptosomal-associated protein 25,Humans,L19760,P60880,DB00083,1
BE0003572,Rho-related GTP-binding protein RhoB,Humans,X06820,P62745,DB00083,1
BE0004834,Dietary fat,Humans,-,-,DB00085; DB13147,2
BE0004835,Dietary protein,Humans,-,-,DB00085; DB11066,2
BE0004836,Dietary starch,Humans,-,-,DB00085; DB11065,2
BE0000928,Proteinase-activated receptor 1,Humans,M62424,P25116,DB00086; DB05361; DB09030; DB11300,4
BE0000083,CAMPATH-1 antigen,Humans,X62466,P31358,DB00087,1
BE0000568,Glutamate carboxypeptidase 2,Humans,M99487,Q04609,DB00089; DB00142; DB06928; DB07754; DB08835,5
BE0004822,Iduronic acid,Humans,-,-,DB00090,1
BE0000379,Calcium signal-modulating cyclophilin ligand,Humans,U18242,P49069,DB00091,1
BE0002143,Calcineurin subunit B type 2,Humans,AF145026,Q96LZ3,DB00091; DB11693,2
BE0001014,Peptidyl-prolyl cis-trans isomerase A,Humans,Y00052,P62937,DB00091; DB00172; DB01742; DB02419; DB03393; DB09130; DB11638,7
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Humans,M80254,P30405,DB00091; DB00172; DB02078; DB08168,4
BE0000719,T-cell surface antigen CD2,Humans,M19806,P06729,DB00092; DB06371,2
BE0000516,Integrin alpha-L,Humans,Y00796,P20701,DB00095; DB00098; DB00227; DB00641; DB02177; DB03932; DB04724; DB06972; DB07486; DB11611,10
BE0000598,T-cell surface glycoprotein CD1a,Humans,M28825,P06126,DB00098,1
BE0003573,Major histocompatibility complex class I-related gene protein,Humans,U22963,Q95460,DB00098,1
BE0000846,T-lymphocyte activation antigen CD86,Humans,L25259,P42081,DB00098; DB01281; DB06681,3
BE0003488,T-cell surface glycoprotein CD4,Humans,BC025782,P01730,DB00098; DB06241; DB12698,3
BE0003575,Integrin beta-1,Humans,X07979,P05556,DB00098,1
BE0003576,Integrin alpha-V,Humans,M14648,P06756,DB00098; DB00451,2
BE0001021,Coagulation factor XI,Humans,M13142,P03951,DB00100; DB06404; DB07022; DB07023; DB07071; DB07074; DB07077; DB07212; DB07299; DB07887; DB09228; DB11300; DB11571; DB11572; DB13152,15
BE0000205,Platelet-derived growth factor receptor beta,Humans,J03278,P09619,DB00102; DB00398; DB00619; DB01254; DB01268; DB05014; DB05146; DB06589; DB06595; DB08896; DB09221; DB10770; DB12010; DB12147,14
BE0000852,Platelet-derived growth factor receptor alpha,Humans,M21574,P16234,DB00102; DB00619; DB01268; DB05146; DB06043; DB06589; DB06595; DB08896; DB08901; DB10772; DB12010; DB12147; DB12742,13
BE0000910,Alpha-2-macroglobulin,Humans,M11313,P01023,DB00102; DB00515; DB00626; DB01593; DB08888; DB12965; DB14487; DB14533,8
BE0004830,Globotriaosylceramide,Humans,-,-,DB00103,1
BE0000452,Somatostatin receptor type 1,Humans,M81829,P30872,DB00104; DB06663; DB09099; DB13985,4
BE0002147,Somatostatin receptor type 5,Humans,L14865,P35346,DB00104; DB04894; DB06663; DB06791; DB09099; DB13985,6
BE0003528,Somatostatin receptor type 2,Humans,BC095495,P30874,DB00104; DB04894; DB06663; DB06791; DB09099; DB13925; DB13985,7
BE0000844,Oxytocin receptor,Humans,X64878,P30559,DB00107; DB01282; DB09059; DB13929,4
BE0000751,Oxytocin-neurophysin 1,Humans,M25650,P01178,DB00107,1
BE0000590,Integrin alpha-4,Humans,X16983,P13612,DB00108; DB04997; DB05092; DB05122; DB05468; DB06822; DB09033,7
BE0001085,Intercellular adhesion molecule 1,Humans,X06990,P05362,DB00108; DB08818; DB12598,3
BE0000398,Envelope glycoprotein,Human immunodeficiency virus 1,AJ964940,Q53I07,DB00109,1
BE0000686,Fusion glycoprotein F0,Human respiratory syncytial virus B (strain 18537),D00334,P13843,DB00110; DB05226,2
BE0000163,Vascular endothelial growth factor A,Humans,M32977,P15692,DB00112; DB01017; DB01120; DB01136; DB01270; DB03088; DB03754; DB05294; DB05434; DB05890; DB05932; DB05969; DB06642; DB06779; DB08885; DB09301; DB10772,17
BE0000107,Carcinoembryonic antigen-related cell adhesion molecule 1,Humans,J03858,P13688,DB00113,1
BE0000102,"Alanine--glyoxylate aminotransferase 2, mitochondrial",Humans,AJ292204,Q9BYV1,DB00114; DB00119; DB00145; DB00160,4
BE0000378,Glutamate decarboxylase 1,Humans,M81883,Q99259,DB00114; DB00142,2
BE0000323,Cystathionine beta-synthase,Humans,L19501,P35520,DB00114; DB00118; DB00133; DB00151,4
BE0000392,Kynureninase,Humans,U57721,Q16719,DB00114; DB00160; DB07069,3
BE0000331,"Serine hydroxymethyltransferase, cytosolic",Humans,L11931,P34896,DB00114; DB00116; DB00145; DB01055; DB02067; DB02800; DB02824,7
BE0000151,"Cysteine desulfurase, mitochondrial",Humans,AF097025,Q9Y697,DB00114; DB00151; DB00160,3
BE0000529,"Aspartate aminotransferase, cytoplasmic",Humans,M37400,P17174,DB00114; DB00128; DB00142; DB00151; DB04299; DB09130,6
BE0000424,"Ornithine aminotransferase, mitochondrial",Humans,M12267,P04181,DB00114; DB00129; DB02054; DB02821,4
BE0000404,Ornithine decarboxylase,Humans,M16650,P11926,DB00114; DB00127; DB01917; DB02209; DB02824; DB03856; DB04083; DB04263; DB06243,9
BE0000727,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial",Humans,AF097994,Q8N5Z0,DB00114; DB00142,2
BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",Humans,L32961,P80404,DB00114; DB00119; DB00142; DB00160; DB00780; DB01080; DB01699; DB04235,8
BE0000181,Pyridoxine-5'-phosphate oxidase,Humans,AF468030,Q9NVS9,DB00114; DB03247; DB03345,3
BE0000778,Sphingosine-1-phosphate lyase 1,Humans,AJ011304,O95470,DB00114,1
BE0000692,Tyrosine aminotransferase,Humans,X52520,P17735,DB00114; DB00120; DB00135; DB00142,4
BE0000273,Kynurenine--oxoglutarate transaminase 1,Humans,X82224,Q16773,DB00114; DB02142; DB02556; DB04083; DB07950,5
BE0000482,Threonine synthase-like 1,Humans,BC035132,Q8IYQ7,DB00114; DB00156,2
BE0000007,"Glycogen phosphorylase, liver form",Humans,M14636,P06737,DB00114; DB00131; DB02089; DB02320; DB02379; DB03288; DB03496; DB03744; DB04522; DB05044; DB07315; DB07395; DB07396; DB07968; DB08844,15
