,Gene name,Gene description,dN with Chimpanzee,dS with Chimpanzee,dN/dS with Chimpanzee,dN with Mouse,dS with Mouse,dN/dS with Mouse,present in DrugBank
26,GPR141,G protein-coupled receptor 141 [Source:HGNC Symbol;Acc:HGNC:19997],0.0032,0.0037,0.8649,0.1223,0.7104,0.1722,False
27,KLHL7,kelch like family member 7 [Source:HGNC Symbol;Acc:HGNC:15646],0.0,0.0,,0.0104,0.4162,0.025,False
28,CPXM1,"carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]",0.0049,0.0134,0.3657,0.0787,0.6112,0.1288,False
29,SHF,Src homology 2 domain containing F [Source:HGNC Symbol;Acc:HGNC:25116],0.0045,0.0169,0.2663,0.0167,0.3423,0.0488,False
30,ITPRID1,ITPR interacting domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27363],0.0102,0.0103,0.9903,0.3101,0.6276,0.4941,False
31,CGREF1,cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962],0.0096,0.0065,1.4769,0.2706,0.6632,0.408,False
32,DUOXA2,dual oxidase maturation factor 2 [Source:HGNC Symbol;Acc:HGNC:32698],0.0043,0.0169,0.2544,0.1312,0.5936,0.221,False
33,MYL9,myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754],0.0,0.0,,0.0023,0.8769,0.0026,False
34,KHK,ketohexokinase [Source:HGNC Symbol;Acc:HGNC:6315],0.0652,0.1143,0.5704,0.1362,0.6231,0.2186,False
35,DUOX2,dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273],0.0032,0.0144,0.2222,0.078,0.6167,0.1265,False
36,RPAP1,RNA polymerase II associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24567],0.0028,0.0062,0.4516,0.126,0.4569,0.2758,False
37,DLGAP4,DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476],0.0052,0.0292,0.1781,0.0184,0.5655,0.0325,False
38,IFT88,intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606],0.0005,0.0147,0.034,0.0525,0.5403,0.0972,False
39,SIGIRR,single Ig and TIR domain containing [Source:HGNC Symbol;Acc:HGNC:30575],0.0612,0.1628,0.3759,0.1011,0.7755,0.1304,False
40,DUOX1,dual oxidase 1 [Source:HGNC Symbol;Acc:HGNC:3062],0.0026,0.017,0.1529,0.046,0.6251,0.0736,False
41,PPP1R17,protein phosphatase 1 regulatory subunit 17 [Source:HGNC Symbol;Acc:HGNC:16973],0.0,0.0,,0.1135,0.4975,0.2281,False
42,AKAP11,A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369],0.0055,0.0083,0.6627,0.15,0.4915,0.3052,False
43,ANKRD33B,ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240],0.0016,0.0445,0.036,0.1304,1.1019,0.1183,False
44,CCNY,cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354],0.0716,0.1321,0.542,0.0094,0.3884,0.0242,False
45,TRIM44,tripartite motif containing 44 [Source:HGNC Symbol;Acc:HGNC:19016],0.0,0.0,,0.0396,0.5014,0.079,False
46,OR2B6,olfactory receptor family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:8241],0.0148,0.0065,2.2769,0.1085,0.6046,0.1795,False
47,OSGEP,O-sialoglycoprotein endopeptidase [Source:HGNC Symbol;Acc:HGNC:18028],0.0,0.0,,0.035,0.5601,0.0625,False
48,SHROOM4,shroom family member 4 [Source:HGNC Symbol;Acc:HGNC:29215],0.0071,0.0121,0.5868,0.1287,0.4311,0.2985,False
49,TRIM39,tripartite motif containing 39 [Source:HGNC Symbol;Acc:HGNC:10065],0.0009,0.0027,0.3333,0.013999999999999999,0.4117,0.034,False
50,ASMT,acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750],0.0071,0.0352,0.2017,0.3996,78.2959,0.0051,True
51,KIAA1217,KIAA1217 [Source:HGNC Symbol;Acc:HGNC:25428],0.0043,0.013999999999999999,0.3071,0.1034,0.5351,0.1932,False
52,UBE2L6,ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490],0.0,0.0,,0.1508,0.7616,0.198,False
53,TMEM239,transmembrane protein 239 [Source:HGNC Symbol;Acc:HGNC:40044],0.012,0.0202,0.5941,0.0876,0.5445,0.1609,False
54,SKOR1,SKI family transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:21326],0.0754,0.1948,0.3871,0.0967,0.8387,0.1153,False
55,L2HGDH,L-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:20499],0.0078,0.0121,0.6446,0.0994,0.4647,0.2139,False
56,TSG101,tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971],0.0467,0.0605,0.7719,0.0255,0.4313,0.0591,False
57,ANKRD63,ankyrin repeat domain 63 [Source:HGNC Symbol;Acc:HGNC:40027],0.0023,0.0153,0.1503,0.0419,0.6478,0.0647,False
58,PLCB2,phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055],0.0014,0.0133,0.1053,0.0712,0.6658,0.1069,False
59,GJD4,gap junction protein delta 4 [Source:HGNC Symbol;Acc:HGNC:23296],0.0151,0.0133,1.1353,0.3319,2.0656,0.1607,False
60,FZD8,frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046],0.1245,0.4541,0.2742,0.0266,1.3148,0.0202,False
61,FZD9,frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047],0.0,0.0,,0.0195,1.3349,0.0146,False
62,TNNT3,"troponin T3, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11950]",0.0594,0.2541,0.2338,0.078,1.2305,0.0634,False
63,TENT2,terminal nucleotidyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26776],0.0008,0.0041,0.1951,0.0376,0.2794,0.1346,False
64,PIGT,phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938],0.0061,0.0269,0.2268,0.0318,0.6517,0.0488,False
65,DNMT3L,DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980],0.0036,0.0134,0.2687,0.2693,1.0749,0.2505,False
66,ZSWIM3,zinc finger SWIM-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16157],0.0035,0.005,0.7,0.1033,0.4951,0.2086,False
67,TNFSF11,TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926],0.0031,0.0174,0.1782,0.0843,0.6173,0.1366,True
68,BMP15,bone morphogenetic protein 15 [Source:HGNC Symbol;Acc:HGNC:1068],0.0069,0.0112,0.6161,0.2446,0.5377,0.4549,False
69,FSHR,follicle stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:3969],0.0068,0.0087,0.7816,0.0675,0.4633,0.1457,False
70,ZSWIM1,zinc finger SWIM-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16155],0.003,0.0099,0.303,0.0795,0.7291,0.109,False
71,DDAH2,dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716],0.0016,0.0043,0.3721,0.0159,0.4077,0.039,True
72,PAN3,poly(A) specific ribonuclease subunit PAN3 [Source:HGNC Symbol;Acc:HGNC:29991],0.0005,0.0093,0.0538,0.0253,0.3101,0.0816,False
73,RPS21,ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409],0.0,0.0,,0.0274,0.3565,0.0769,False
74,SRMS,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:HGNC Symbol;Acc:HGNC:11298],0.0018,0.0469,0.0384,0.1226,1.0575,0.1159,True
75,MCM10,minichromosome maintenance 10 replication initiation factor [Source:HGNC Symbol;Acc:HGNC:18043],0.0053,0.0265,0.2,0.1513,0.6964,0.2173,False
76,TIPIN,TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750],0.0042,0.0054,0.7778,0.1619,0.5369,0.3015,False
77,RMND5A,required for meiotic nuclear division 5 homolog A [Source:HGNC Symbol;Acc:HGNC:25850],0.0,0.0,,0.0,0.0,,False
78,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:HGNC:23077]",0.0446,0.1445,0.3087,0.0016,0.4614,0.0035,False
79,KCNIP3,potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523],0.0017,0.0186,0.0914,0.1423,1.3023,0.1093,False
80,AC187653.1,novel forkhead box family protein,0.0082,0.0,inf,0.1263,2.7272,0.0463,False
81,LYZL1,lysozyme like 1 [Source:HGNC Symbol;Acc:HGNC:30502],0.0,0.0,,0.1458,0.6059,0.2406,False
82,RNF103,ring finger protein 103 [Source:HGNC Symbol;Acc:HGNC:12859],0.0028,0.0104,0.2692,0.0215,0.294,0.0731,False
83,TLX2,T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057],0.0015,0.016,0.0938,0.0334,0.6561,0.0509,False
84,EN1,engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342],0.0102,0.0588,0.1735,0.0384,0.6346,0.0605,False
85,NOL4L,nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106],0.0,0.0,,0.0164,0.556,0.0295,False
86,BAZ1B,bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961],0.001,0.0074,0.1351,0.0427,0.5675,0.0752,False
87,CCND3,cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585],0.0029,0.0055,0.5273,0.0266,0.4509,0.059,False
88,NLRP14,NLR family pyrin domain containing 14 [Source:HGNC Symbol;Acc:HGNC:22939],0.0068,0.0148,0.4595,0.3425,0.5904,0.5801,False
89,SRD5A3,steroid 5 alpha-reductase 3 [Source:HGNC Symbol;Acc:HGNC:25812],0.0,0.0,,0.1196,0.7258,0.1648,False
90,TUBB4A,tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774],0.0,0.0,,0.0,0.0,,False
91,SLC6A11,solute carrier family 6 member 11 [Source:HGNC Symbol;Acc:HGNC:11044],0.0026,0.0294,0.0884,0.028999999999999998,0.8617,0.0337,False
92,ARMH3,armadillo like helical domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25788],0.0,0.0,,0.006999999999999999,0.3734,0.0187,False
93,LDLRAD3,low density lipoprotein receptor class A domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27046],0.0,0.0,,0.018000000000000002,0.5992,0.03,False
94,MBD3L2,methyl-CpG binding domain protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:18532],0.205,0.2319,0.884,0.6203,1.0515,0.5899,False
95,CHMP3,charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865],0.002,0.0179,0.1117,0.013999999999999999,0.5844,0.024,False
96,AMTN,amelotin [Source:HGNC Symbol;Acc:HGNC:33188],0.0101,0.0139,0.7266,0.2549,0.41200000000000003,0.6187,False
97,SLC25A38,solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054],0.0,0.0,,0.0731,0.6592,0.1109,False
98,NSG2,neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955],0.0,0.0,,0.0133,0.4535,0.0293,False
99,TANC1,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29364]",0.0041,0.006999999999999999,0.5857,0.0568,0.5012,0.1133,False
100,UBL7,ubiquitin like 7 [Source:HGNC Symbol;Acc:HGNC:28221],0.0013,0.0284,0.0458,0.0116,0.3577,0.0324,False
101,SPATA25,spermatogenesis associated 25 [Source:HGNC Symbol;Acc:HGNC:16158],0.0135,0.0227,0.5947,0.1157,0.34299999999999997,0.3373,False
102,SAPCD1,suppressor APC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13938],0.0,0.0,,0.1937,0.5895,0.3286,False
103,FLRT1,fibronectin leucine rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3760],0.0012,0.0762,0.0157,0.0165,0.9511,0.0173,False
104,BCL11A,BAF chromatin remodeling complex subunit BCL11A [Source:HGNC Symbol;Acc:HGNC:13221],0.0,0.0,,0.0022,0.1347,0.0163,False
105,TIMM22,translocase of inner mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:17317],0.005,0.0296,0.1689,0.0229,0.4883,0.0469,False
106,MACROD1,mono-ADP ribosylhydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29598],0.0012,0.0212,0.0566,0.0738,0.7135,0.1034,False
107,MSH5-SAPCD1,MSH5-SAPCD1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41994],0.0139,0.023,0.6043,0.0645,0.4504,0.1432,False
108,TMED3,transmembrane p24 trafficking protein 3 [Source:HGNC Symbol;Acc:HGNC:28889],0.0451,0.1428,0.3158,0.0548,0.7714,0.071,False
109,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81],0.0991,0.23199999999999998,0.4272,0.0163,0.6163,0.0264,False
110,COMMD4,COMM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26027],0.0077,0.0065,1.1846,0.0432,0.6264,0.069,False
111,ALDH3B2,aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411],0.0237,0.0713,0.3324,0.102,1.1159999999999999,0.0914,True
112,B4GALT1,"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]",0.0046,0.0129,0.3566,0.0739,0.4416,0.1673,True
113,DENND4C,DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079],0.0009,0.0089,0.1011,0.0669,0.484,0.1382,False
114,CALR,calreticulin [Source:HGNC Symbol;Acc:HGNC:1455],0.0012,0.0024,0.5,0.0285,0.8944,0.0319,True
115,ZMYND11,zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966],0.0,0.0,,0.0097,0.602,0.0161,False
116,TRBV11-3,T cell receptor beta variable 11-3 [Source:HGNC Symbol;Acc:HGNC:12182],0.0065,0.009000000000000001,0.7222,0.28800000000000003,0.6735,0.4276,False
117,TRBV12-3,T cell receptor beta variable 12-3 [Source:HGNC Symbol;Acc:HGNC:12185],0.0108,0.0215,0.5023,0.2872,0.3385,0.8484,False
118,MINAR1,membrane integral NOTCH2 associated receptor 1 [Source:HGNC Symbol;Acc:HGNC:29172],0.002,0.0178,0.1124,0.0503,0.6169,0.0815,False
119,TRBV12-4,T cell receptor beta variable 12-4 [Source:HGNC Symbol;Acc:HGNC:12186],0.0195,0.069,0.2826,0.2676,0.3584,0.7467,False
120,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:HGNC:5030],0.0015,0.0138,0.1087,0.0403,2.1333,0.0189,False
121,MARCO,macrophage receptor with collagenous structure [Source:HGNC Symbol;Acc:HGNC:6895],0.0117,0.0237,0.4937,0.2523,0.5567,0.4532,False
122,CDKL1,cyclin dependent kinase like 1 [Source:HGNC Symbol;Acc:HGNC:1781],0.0057,0.011000000000000001,0.5182,0.0505,0.5805,0.087,False
123,IL15RA,interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978],0.0133,0.0035,3.8,0.3612,0.6938,0.5206,False
124,PITPNA,phosphatidylinositol transfer protein alpha [Source:HGNC Symbol;Acc:HGNC:9001],0.0685,0.1239,0.5529,0.005,0.3078,0.0162,False
125,COX8A,cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294],0.0064,0.021,0.3048,0.2104,0.757,0.2779,True
126,PCSK7,proprotein convertase subtilisin/kexin type 7 [Source:HGNC Symbol;Acc:HGNC:8748],0.0186,0.0437,0.4256,0.0701,0.502,0.1396,False
127,INA,internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057],0.0008,0.0214,0.0374,0.0277,0.5903,0.0469,False
128,PNLIPRP1,pancreatic lipase related protein 1 [Source:HGNC Symbol;Acc:HGNC:9156],0.0341,0.0932,0.3659,0.0945,0.5982,0.158,False
129,MOAP1,modulator of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:16658],0.0041,0.0131,0.313,0.1412,0.5609,0.2517,False
130,SOX6,SRY-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:16421],0.0019,0.0076,0.25,0.0159,0.2578,0.0617,False
131,SEMA3A,semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723],0.0006,0.0109,0.055,0.0214,0.5758,0.0372,False
132,SPECC1,sperm antigen with calponin homology and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:30615],0.0033,0.0146,0.226,0.0779,0.6115,0.1274,False
133,MYOT,myotilin [Source:HGNC Symbol;Acc:HGNC:12399],0.0045,0.0054,0.8333,0.0549,0.4801,0.1144,False
134,HPS6,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3 [Source:HGNC Symbol;Acc:HGNC:18817],0.0026,0.0164,0.1585,0.1112,0.5137,0.2165,False
135,C6orf118,chromosome 6 open reading frame 118 [Source:HGNC Symbol;Acc:HGNC:21233],0.0293,0.0399,0.7343,0.3545,1.5686,0.226,False
136,NRG2,neuregulin 2 [Source:HGNC Symbol;Acc:HGNC:7998],0.001,0.0087,0.1149,0.0223,0.5188,0.043,False
137,MMS19,"MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]",0.0018,0.0103,0.1748,0.0608,0.4238,0.1435,False
138,DMAC2L,distal membrane arm assembly complex 2 like [Source:HGNC Symbol;Acc:HGNC:18799],0.1669,0.2486,0.6714,0.1323,0.3268,0.4048,False
139,CCDC173,coiled-coil domain containing 173 [Source:HGNC Symbol;Acc:HGNC:25064],0.0056,0.0023,2.4348,0.159,0.6632,0.2397,False
140,CHL1,cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939],0.004,0.0263,0.1521,0.0827,0.5828,0.1419,False
141,ESCO1,establishment of sister chromatid cohesion N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24645],0.0034,0.0058,0.5862,0.1365,0.478,0.2856,False
142,NIPA1,NIPA magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:17043],0.0067,0.0531,0.1262,0.0072,0.514,0.014,False
143,LAMA2,laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482],0.0038,0.0097,0.3918,0.0625,0.5649,0.1106,False
144,AFF2,AF4/FMR2 family member 2 [Source:HGNC Symbol;Acc:HGNC:3776],0.0031,0.0055,0.5636,0.0572,0.3644,0.157,False
145,C10orf120,chromosome 10 open reading frame 120 [Source:HGNC Symbol;Acc:HGNC:25707],0.0082,0.0112,0.7321,0.3854,0.9843,0.3915,False
146,CLIC1,chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062],0.0,0.0,,0.0074,0.5579,0.0133,False
147,RDH10,retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975],0.0,0.0,,0.0055,0.3605,0.0153,False
148,FAM13B,family with sequence similarity 13 member B [Source:HGNC Symbol;Acc:HGNC:1335],0.0016,0.0057,0.2807,0.0508,0.4094,0.1241,False
149,SPINK4,"serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:HGNC:16646]",0.1651,0.3008,0.5489,0.2473,0.4513,0.548,False
150,CMYA5,cardiomyopathy associated 5 [Source:HGNC Symbol;Acc:HGNC:14305],0.0072,0.0067,1.0746,0.2613,0.5995,0.4359,False
151,ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]",0.0057,0.0243,0.2346,0.0495,0.6559999999999999,0.0755,False
152,RPL7,ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363],0.0,0.0,,0.0167,0.6242,0.0268,False
153,UTRN,utrophin [Source:HGNC Symbol;Acc:HGNC:12635],0.003,0.0098,0.3061,0.0695,0.6203,0.112,True
154,BAG1,BCL2 associated athanogene 1 [Source:HGNC Symbol;Acc:HGNC:937],0.0091,0.0159,0.5723,0.18,0.3978,0.4525,False
155,CCNJL,cyclin J like [Source:HGNC Symbol;Acc:HGNC:25876],0.0054,0.0245,0.2204,0.0492,0.6574,0.0748,False
156,RIOK1,RIO kinase 1 [Source:HGNC Symbol;Acc:HGNC:18656],0.0058,0.0126,0.4603,0.1228,0.5782,0.2124,True
157,SIDT2,SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272],0.0046,0.0403,0.1141,0.0211,0.6064,0.0348,False
158,KLF3,Kruppel like factor 3 [Source:HGNC Symbol;Acc:HGNC:16516],0.0,0.0,,0.0216,0.6656,0.0325,False
159,RIDA,reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897],0.0036,0.0083,0.4337,0.1056,0.3936,0.2683,True
160,CTSF,cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531],0.0035,0.0316,0.1108,0.1268,0.625,0.2029,False
161,USP37,ubiquitin specific peptidase 37 [Source:HGNC Symbol;Acc:HGNC:20063],0.0015,0.0052,0.2885,0.0465,0.4271,0.1089,False
162,CTSA,cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251],0.006999999999999999,0.0257,0.2724,0.0647,0.6164,0.105,False
163,VPS26B,"VPS26, retromer complex component B [Source:HGNC Symbol;Acc:HGNC:28119]",0.0096,0.0574,0.1672,0.0037,0.5196,0.0071,False
164,TRPM3,transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992],0.0253,0.0402,0.6294,0.0341,0.4583,0.0744,False
165,PTBP3,polypyrimidine tract binding protein 3 [Source:HGNC Symbol;Acc:HGNC:10253],0.0,0.0,,0.0235,0.3359,0.07,False
166,ALKBH8,"alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]",0.0075,0.0121,0.6198,0.134,0.6209,0.2158,False
167,CLDN17,claudin 17 [Source:HGNC Symbol;Acc:HGNC:2038],0.0088,0.0151,0.5828,0.1052,0.6719,0.1566,False
168,CCL2,C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618],0.1749,0.3341,0.5235,0.3713,0.7599,0.4886,True
169,UBR4,ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313],0.0005,0.0169,0.0296,0.0151,0.5324,0.0284,False
170,UBE2H,ubiquitin conjugating enzyme E2 H [Source:HGNC Symbol;Acc:HGNC:12484],0.0,0.0,,0.0,0.0,,False
171,CLDN8,claudin 8 [Source:HGNC Symbol;Acc:HGNC:2050],0.0022,0.0,inf,0.096,0.6404,0.1499,False
172,NCAPD3,non-SMC condensin II complex subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952],0.0045,0.0098,0.4592,0.1554,0.5720000000000001,0.2717,False
173,SLC35E4,solute carrier family 35 member E4 [Source:HGNC Symbol;Acc:HGNC:17058],0.0013,0.0406,0.032,0.0925,0.716,0.1292,False
174,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636],0.0052,0.0168,0.3095,0.0143,0.4201,0.034,False
175,KRTAP24-1,keratin associated protein 24-1 [Source:HGNC Symbol;Acc:HGNC:33902],0.0216,0.0174,1.2414,0.2828,0.9958,0.284,False
