,name,organism,GenBank_ID,UniProt_ID,drugs,drugs_num
BE0000017,Prostaglandin G/H synthase 1,Humans,M31822,P23219,DB01397; DB01837; DB02047; DB02110; DB02198; DB02379; DB02773; DB03667; DB03752; DB03753; DB04552; DB04557; DB07981; DB07983; DB07984; DB09288; DB09295,17
BE0001534,Methionine aminopeptidase 2,Humans,U29607,P50579,DB01422; DB02310; DB02640; DB03086; DB03396; DB04108; DB04324; DB07309; DB07313; DB07322; DB07323; DB07377; DB07746,13
BE0004811,Magnesium cation,Humans,-,-,DB01422,1
BE0004812,Manganese cation,Humans,-,-,DB01422,1
BE0000197,Sodium channel protein type 5 subunit alpha,Humans,M77235,Q14524,DB01429,1
BE0000418,Calmodulin,Humans,J04046,P0DP23,DB01429; DB02868; DB03977; DB04513; DB08039; DB08231,6
BE0000557,Progesterone receptor,Humans,X51730,P06401,DB01431; DB02746; DB02998; DB13857; DB14583,5
BE0000123,Estrogen receptor alpha,Humans,X03635,P03372,DB01431; DB01878; DB02187; DB02615; DB02715; DB02746; DB03467; DB03742; DB03802; DB04216; DB04471; DB06732; DB06871; DB06898; DB06927; DB07086; DB07087; DB07195; DB07567; DB07638; DB07678; DB07707; DB07708; DB07712; DB07932; DB07933; DB07991; DB08020; DB08047; DB08048; DB08320; DB08595; DB08737; DB08773; DB11478; DB13869; DB13951; DB14641,38
BE0000770,Mu-type opioid receptor,Humans,L25119,P35372,DB01433; DB01439; DB01444; DB01466; DB01565,5
BE0000420,Delta-type opioid receptor,Humans,U07882,P41143,DB01439; DB01444; DB01565,3
BE0000632,Kappa-type opioid receptor,Humans,U11053,P41145,DB01439; DB01565,2
BE0000451,5-hydroxytryptamine receptor 2A,Humans,S42168,P28223,DB01442; DB01454; DB01488; DB01537; DB01614; DB01622; DB04599; DB08922; DB08927; DB13940; DB13948; DB14010,12
BE0000647,Sodium-dependent dopamine transporter,Humans,M96670,Q01959,DB01442; DB01454; DB01463; DB01472,4
BE0000749,Sodium-dependent serotonin transporter,Humans,X70697,P31645,DB01442; DB01454; DB01472; DB09186,4
BE0000486,Sodium-dependent noradrenaline transporter,Humans,M65105,P23975,DB01442; DB01454,2
BE0000118,Synaptic vesicular amine transporter,Humans,L09118,Q05940,DB01442; DB01454; DB01472,3
BE0004674,Chromaffin granule amine transporter,Humans,L09118,P54219,DB01442,1
BE0002198,Amine oxidase [flavin-containing] A,Humans,M68840,P21397,DB01442; DB01472; DB04017; DB07641; DB07919; DB09244; DB09245; DB13876,8
BE0002196,Amine oxidase [flavin-containing] B,Humans,S62734,P27338,DB01442; DB01472; DB02095; DB02211; DB02509; DB02643; DB03894; DB04147; DB04307; DB04677; DB07512; DB07513; DB08082; DB08176; DB08480; DB08516,16
BE0000393,5-hydroxytryptamine receptor 2B,Humans,X77307,P41595,DB01454,1
BE0000533,5-hydroxytryptamine receptor 2C,Humans,M81778,P28335,DB01454; DB01537; DB09014; DB13940,4
BE0000289,Alpha-2A adrenergic receptor,Humans,M23533,P08913,DB01472; DB09244,2
BE0000132,Androgen receptor,Humans,M20132,P10275,DB01481; DB01564; DB02932; DB02998; DB04709; DB06870; DB07039; DB07286; DB07419; DB07421; DB07422; DB07423; DB07454; DB07717; DB07769; DB08035; DB08087; DB08088; DB08089; DB08461; DB11447; DB13951; DB14583,23
BE0000945,5-hydroxytryptamine receptor 6,Humans,L41147,P50406,DB01488,1
BE0000156,Sigma non-opioid intracellular receptor 1,Humans,U75283,Q99720,DB01488; DB09014,2
BE0000641,"Glutamate receptor ionotropic, NMDA 3A",Humans,AJ416950,Q8TCU5,DB01520; DB01549,2
BE0000534,"Glutamate receptor ionotropic, NMDA 3B",Humans,AC004528,O60391,DB01520,1
BE0000760,"Glutamate receptor ionotropic, NMDA 2A",Humans,U09002,Q12879,DB01520,1
BE0000454,"Glutamate receptor ionotropic, NMDA 2C",Humans,L76224,Q14957,DB01520,1
BE0000417,"Glutamate receptor ionotropic, NMDA 2B",Humans,U90278,Q13224,DB01520,1
BE0000396,"Glutamate receptor ionotropic, NMDA 2D",Humans,U77783,O15399,DB01520,1
BE0003438,Alpha-7 nicotinic cholinergic receptor subunit,Humans,AY641831,Q693P7,DB01520,1
BE0000194,Estradiol 17-beta-dehydrogenase 1,Humans,X13440,P14061,DB01536; DB01561; DB02187; DB02323; DB03461; DB13951,6
BE0000051,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,Humans,M27137,P14060,DB01536; DB14538,2
BE0000592,Aldo-keto reductase family 1 member C3,Humans,S68288,P42330,DB01536; DB03461; DB07700,3
BE0000756,D(2) dopamine receptor,Humans,M30625,P14416,DB01549; DB01614; DB01622; DB04599; DB08922; DB09207,6
BE0001063,E3 ubiquitin-protein ligase TRIM13,Humans,AJ224819,O60858,DB01565,1
BE0000947,Pro-opiomelanocortin,Humans,M38297,P01189,DB01565,1
BE0000131,Corticosteroid 11-beta-dehydrogenase isozyme 2,Humans,U14631,P80365,DB01569; DB14538,2
BE0000020,D(1A) dopamine receptor,Humans,X55760,P21728,DB01614; DB01622,2
BE0000575,Alpha-1B adrenergic receptor,Humans,M99589,P35368,DB01614; DB01622; DB09202,3
BE0002390,Superoxide dismutase [Cu-Zn],Humans,L44139,P00441,DB01629; DB03382,2
BE0000642,72 kDa type IV collagenase,Humans,J03210,P08253,DB01630,1
BE0001084,Neutrophil gelatinase-associated lipocalin,Humans,X83006,P80188,DB01631; DB01672; DB01926; DB02710; DB04043; DB04476,6
BE0002815,Ig gamma-1 chain C region,Humans,X83006,P01857,DB01631; DB03740; DB04473; DB04639; DB07371; DB07375; DB07441; DB07672; DB07764; DB07816; DB07881; DB07883; DB07909; DB08294; DB08296; DB08332; DB08377; DB08394; DB08409; DB08410; DB08411; DB08412; DB08562,23
BE0001223,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Humans,U38178,Q13370,DB01640; DB01970; DB07954,3
BE0001221,Thymidylate kinase,Humans,X54729,P23919,DB01643; DB03150; DB03195; DB03233; DB03280; DB03666; DB03845; DB04395,8
BE0000324,Thymidylate synthase,Humans,X02308,P04818,DB01643; DB03541; DB03800; DB04530; DB07577; DB08478; DB08479; DB08734,8
BE0000648,"Glutathione reductase, mitochondrial",Humans,X15722,P00390,DB01644; DB02153; DB02553; DB02895; DB03867; DB07393; DB07714,7
BE0001200,Rhodopsin,Humans,U49742,P08100,DB01646; DB01728; DB02451; DB02482; DB03152; DB03381; DB04079; DB04147; DB04233; DB04450; DB04522,11
BE0000487,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Humans,L20966,Q07343,DB01647; DB01791; DB01959; DB02660; DB03349; DB03606; DB03807; DB04149; DB04530; DB06909; DB08299,11
BE0001215,m7GpppX diphosphatase,Humans,AY040773,Q96C86,DB01649; DB01960; DB03593; DB03958; DB07642; DB07643; DB07644,7
BE0000957,Eukaryotic translation initiation factor 4E,Humans,M15353,P06730,DB01649; DB01960; DB02716; DB08217,4
BE0001213,Serum amyloid P-component,Humans,D00097,P02743,DB01651; DB07579; DB07580,3
BE0003531,Chymotrypsinogen B,Humans,BC005385,P17538,DB01662; DB01704; DB01963; DB03976; DB07380; DB07383; DB07668; DB07749; DB07899; DB08119; DB08374; DB08565; DB08566; DB08692; DB08693,15
BE0001739,Trypsin-1,Humans,M22612,P07477,DB01665; DB01705; DB01725; DB01737; DB01741; DB01745; DB01767; DB01771; DB01805; DB01836; DB01876; DB01905; DB01939; DB02063; DB02081; DB02084; DB02112; DB02269; DB02287; DB02288; DB02354; DB02366; DB02435; DB02463; DB02464; DB02526; DB02665; DB02744; DB02812; DB02875; DB02989; DB03016; DB03081; DB03127; DB03136; DB03159; DB03173; DB03213; DB03243; DB03251; DB03337; DB03373; DB03374; DB03417; DB03443; DB03555; DB03595; DB03608; DB03643; DB03865; DB03876; DB03976; DB04008; DB04107; DB04125; DB04215; DB04238; DB04246; DB04269; DB04301; DB04311; DB04325; DB04336; DB04391; DB04410; DB04424; DB04432; DB04442; DB04446; DB04470; DB04563; DB04654; DB04790; DB04791; DB04792; DB04793; DB06840; DB06845; DB06850; DB06853; DB06855; DB06858; DB06918; DB06923; DB07088; DB07091; DB07095; DB07131; DB07229; DB07368; DB07491; DB07985; DB08184; DB08254; DB08420; DB08763,96
BE0004526,Follistatin,Humans,AF177214,P19883,DB01666,1
BE0000250,Purine nucleoside phosphorylase,Humans,X00737,P00491,DB01667; DB02222; DB02230; DB02377; DB02391; DB02796; DB02857; DB03101; DB03551; DB03609; DB03881; DB04076; DB04260; DB04335; DB04753; DB04754; DB04757,17
BE0000322,Carbonic anhydrase 2,Humans,M77181,P00918,DB01671; DB01748; DB01784; DB01964; DB02069; DB02087; DB02220; DB02221; DB02429; DB02479; DB02535; DB02602; DB02610; DB02861; DB02866; DB02894; DB02986; DB03039; DB03221; DB03262; DB03270; DB03294; DB03333; DB03526; DB03596; DB03598; DB03697; DB03844; DB03877; DB03950; DB03975; DB04002; DB04081; DB04089; DB04180; DB04203; DB04371; DB04394; DB04549; DB04600; DB04601; DB04763; DB06891; DB06954; DB07048; DB07050; DB07363; DB07467; DB07476; DB07596; DB07632; DB07710; DB07742; DB08046; DB08083; DB08155; DB08156; DB08157; DB08165; DB08202; DB08301; DB08329; DB08416; DB08418; DB08645; DB08659; DB08765; DB08782,68
BE0000605,"Isobutyryl-CoA dehydrogenase, mitochondrial",Humans,AF126245,Q9UKU7,DB01675,1
BE0000148,"NAD-dependent malic enzyme, mitochondrial",Humans,M55905,P23368,DB01677; DB03499; DB03589; DB03680,4
BE0004531,Fumarylacetoacetase,Humans,M55905,P16930,DB01677; DB01762; DB01832,3
BE0000838,Proto-oncogene tyrosine-protein kinase Src,Humans,AL133293,P12931,DB01678; DB01866; DB01893; DB01908; DB01947; DB01962; DB02175; DB02336; DB02432; DB02762; DB02908; DB03023; DB03078; DB03104; DB03114; DB03217; DB03268; DB03298; DB03306; DB03525; DB03591; DB03628; DB03712; DB03828; DB04080; DB04495; DB04739; DB04751; DB06882; DB06883; DB07335; DB07662; DB07966; DB08052; DB08053; DB08054; DB08192; DB08462; DB08564,39
BE0004462,Phosphoglycerate mutase 2,Humans,AL133293,P15259,DB01681; DB04510,2
BE0002148,Prolyl endopeptidase,Humans,X74496,P48147,DB01684; DB03382; DB03535; DB03864; DB07148; DB08738; DB08739,7
BE0002204,Xanthine dehydrogenase/oxidase,Humans,D11456,P47989,DB01685; DB03328; DB03841,3
BE0000005,"Nitric oxide synthase, inducible",Humans,L09210,P35228,DB01686; DB01835; DB01997; DB02044; DB02207; DB02234; DB02462; DB02644; DB03100; DB03144; DB03449; DB03953; DB04400; DB04534; DB06879; DB06916; DB07002; DB07003; DB07007; DB07008; DB07011; DB07029; DB07306; DB07318; DB07388; DB07389; DB07405; DB08214; DB08750; DB09237,30
BE0000263,"Nitric oxide synthase, endothelial",Humans,M93718,P29474,DB01686; DB01821; DB01833; DB01997; DB02027; DB02044; DB02048; DB02077; DB02141; DB02207; DB02234; DB02335; DB02589; DB02911; DB02979; DB02994; DB03065; DB03100; DB03144; DB03305; DB03332; DB03707; DB03910; DB03918; DB03963; DB03974; DB04018; DB04223; DB04534; DB04559; DB07001; DB07244; DB07388; DB08018; DB08019; DB09237,36
BE0000747,Aldose reductase,Humans,J04795,P15121,DB01689; DB02007; DB02020; DB02021; DB02101; DB02132; DB02518; DB02712; DB02834; DB02994; DB03461; DB07028; DB07030; DB07063; DB07093; DB07139; DB07187; DB07450; DB07498; DB07999; DB08000; DB08084; DB08098; DB08449; DB08772,25
BE0001260,"Thymidine kinase, cytosolic",Humans,K02581,P04183,DB01692; DB02452,2
BE0001242,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,Humans,AB029396,Q9P2W7,DB01694; DB03435,2
BE0001288,Triggering receptor expressed on myeloid cells 1,Humans,AF196329,Q9NP99,DB01694,1
BE0002501,Probable ATP-dependent RNA helicase DDX6,Humans,BC065007,P26196,DB01694,1
BE0002503,Hypoxia-inducible factor 1-alpha inhibitor,Humans,AF395830,Q9NWT6,DB01694; DB08263,2
BE0004525,V-type proton ATPase subunit C 1,Humans,AE000511,P21283,DB01694,1
BE0003844,Triosephosphate isomerase,Humans,M10036,P60174,DB01695; DB02726; DB03026; DB03132; DB03135; DB03314; DB03379; DB04447; DB04510; DB07387; DB11638,11
BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",Humans,L32961,P80404,DB01699; DB04235,2
BE0001240,Bifunctional purine biosynthesis protein PURH,Humans,U37436,P31939,DB01700; DB01972; DB02309; DB03442; DB04057,5
BE0004460,Beta-enolase,Humans,L01654,P13929,DB01709; DB01819; DB02726; DB03645,4
BE0004467,Myoglobin,Humans,L01654,P02144,DB01710; DB02073; DB02379; DB02528,4
BE0000465,Alcohol dehydrogenase 1C,Humans,X04299,P00326,DB01711; DB02131; DB02721; DB02822; DB02871; DB03020; DB03061; DB03226; DB03559; DB04071; DB04113; DB04312; DB04448,13
BE0000695,Peptidyl-prolyl cis-trans isomerase FKBP1A,Humans,M34539,P62942,DB01712; DB01723; DB01951; DB02311; DB02888; DB03338; DB03621; DB04012; DB08231; DB08520; DB08597,11
BE0004477,"Adenylate kinase 2, mitochondrial",Humans,M88104,P54819,DB01717,1
BE0004536,Adenylate kinase 8,Humans,M88104,Q96MA6,DB01717,1
BE0001262,Adenylate kinase isoenzyme 1,Humans,J04809,P00568,DB01717,1
BE0000048,Prothrombin,Humans,M17262,P00734,DB01725; DB01766; DB01767; DB02287; DB02723; DB03136; DB03159; DB03847; DB03865; DB04136; DB04591; DB04697; DB04722; DB04771; DB04772; DB06838; DB06841; DB06845; DB06850; DB06853; DB06858; DB06859; DB06861; DB06865; DB06866; DB06868; DB06869; DB06878; DB06911; DB06919; DB06929; DB06936; DB06942; DB06947; DB06996; DB07005; DB07016; DB07027; DB07083; DB07088; DB07091; DB07095; DB07105; DB07120; DB07128; DB07131; DB07133; DB07143; DB07165; DB07190; DB07211; DB07277; DB07278; DB07279; DB07353; DB07366; DB07376; DB07400; DB07440; DB07461; DB07508; DB07515; DB07521; DB07522; DB07527; DB07548; DB07549; DB07550; DB07639; DB07658; DB07659; DB07660; DB07665; DB07718; DB07741; DB07796; DB07809; DB07897; DB07934; DB07944; DB07946; DB08061; DB08062; DB08152; DB08187; DB08254; DB08422; DB08546; DB08624,89
BE0000895,Urokinase-type plasminogen activator,Humans,X02419,P00749,DB01725; DB01905; DB01977; DB02287; DB02398; DB02473; DB02526; DB02551; DB02705; DB03046; DB03082; DB03127; DB03136; DB03159; DB03476; DB03729; DB03782; DB03865; DB03876; DB04059; DB04172; DB06855; DB06856; DB06857; DB07076; DB07122; DB07129; DB07625; DB07626; DB08072; DB08697,31
BE0004504,"Aconitate hydratase, mitochondrial",Humans,D73443,Q99798,DB01727; DB03964; DB04072; DB04351; DB04562,5
BE0004527,"Isocitrate dehydrogenase [NADP], mitochondrial",Humans,D73443,P48735,DB01727,1
BE0001251,Isocitrate dehydrogenase [NADP] cytoplasmic,Humans,AF020038,O75874,DB01727; DB03461,2
BE0002513,Wiskott-Aldrich syndrome protein,Humans,U12707,P42768,DB01731,1
BE0000088,Pyruvate kinase PKM,Humans,M23725,P14618,DB01733; DB02726; DB07628; DB07692; DB07697; DB11638,6
BE0000623,Tyrosine-protein phosphatase non-receptor type 1,Humans,M31724,P18031,DB01734; DB01820; DB02014; DB02072; DB02259; DB02420; DB02436; DB02615; DB02620; DB02622; DB02651; DB02662; DB02784; DB02827; DB02977; DB03102; DB03154; DB03311; DB03483; DB03557; DB03661; DB03670; DB03714; DB03982; DB04001; DB04088; DB04142; DB04204; DB04285; DB04525; DB04800; DB06829; DB06887; DB07130; DB07134; DB07197; DB07263; DB07289; DB07295; DB07298; DB07480; DB07651; DB07719; DB07730; DB08001; DB08003; DB08147; DB08371; DB08397; DB08549; DB08591; DB08593; DB08783,53
BE0000599,ADP/ATP translocase 1,Humans,J02966,P12235,DB01736; DB02426; DB04178,3
BE0000872,Protein kinase C beta type,Humans,M13975,P05771,DB01738,1
BE0001014,Peptidyl-prolyl cis-trans isomerase A,Humans,Y00052,P62937,DB01742; DB02419; DB11638,3
BE0003767,S-phase kinase-associated protein 1,Humans,U33760,P63208,DB01750; DB06980; DB06981; DB06982; DB07950,5
BE0001144,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,Humans,M93008,P22061,DB01752,1
BE0000865,Phenylethanolamine N-methyltransferase,Humans,J03727,P11086,DB01752; DB03468; DB03824; DB04273; DB07597; DB07739; DB07747; DB07798; DB07906; DB08128; DB08129; DB08550; DB08631; DB08654,14
BE0004446,Protein arginine N-methyltransferase 3,Humans,AE000512,O60678,DB01752,1
BE0002436,Histamine N-methyltransferase,Humans,D16224,P50135,DB01752; DB04655; DB07106; DB13875,4
BE0002517,tRNA (cytosine(38)-C(5))-methyltransferase,Humans,AF012128,O14717,DB01752,1
BE0000372,Glycine N-methyltransferase,Humans,AF101477,Q14749,DB01752,1
BE0004597,Protein arginine N-methyltransferase 1,Humans,X01416,Q99873,DB01752,1
BE0002524,Histone-lysine N-methyltransferase SETD7,Humans,AF448510,Q8WTS6,DB01752,1
BE0004441,Diphthine synthase,Humans,BX842574,Q9H2P9,DB01752,1
BE0004586,Catechol O-methyltransferase domain-containing protein 1,Humans,U30501,Q86VU5,DB01752; DB03179; DB03923,3
BE0000567,Guanidinoacetate N-methyltransferase,Humans,Z49878,Q14353,DB01752; DB02751,2
BE0001277,Serine/threonine-protein kinase pim-1,Humans,M27903,P11309,DB01754; DB02010; DB02656; DB03650; DB03777; DB04216; DB04395; DB04522; DB04530; DB04715; DB07151; DB07242; DB07524; DB08022; DB08166; DB08230; DB08705; DB08707; DB08708; DB08709,20
BE0004438,Ribose-5-phosphate isomerase,Humans,AP008226,P49247,DB01756,1
BE0004320,Epididymal-specific lipocalin-9,Humans,AY301270,Q8WX39,DB01760; DB02924; DB03087; DB03711; DB04512,5
BE0001019,Mitogen-activated protein kinase 14,Humans,L35263,Q16539,DB01761; DB01807; DB01948; DB01953; DB01988; DB02195; DB02277; DB02352; DB02873; DB02984; DB03044; DB03110; DB03980; DB04338; DB04632; DB04797; DB06882; DB06940; DB06991; DB07307; DB07459; DB07607; DB07811; DB07829; DB07832; DB07833; DB07834; DB07835; DB07942; DB07943; DB08064; DB08068; DB08091; DB08092; DB08093; DB08095; DB08096; DB08097; DB08242; DB08349; DB08351; DB08352; DB08395; DB08423; DB08424; DB08521; DB08522; DB08730,48
BE0000008,"NAD(P) transhydrogenase, mitochondrial",Humans,U40490,Q13423,DB01763; DB03461,2
BE0001209,Casein kinase II subunit alpha,Humans,J02853,P68400,DB01765; DB02170; DB03035; DB03127; DB03924; DB04216; DB04395; DB04462; DB04719; DB04720; DB04721; DB07802; DB08338; DB08340; DB08345; DB08353; DB08354; DB08360; DB08362; DB08473; DB08660,21
BE0000230,"Tyrosine--tRNA ligase, cytoplasmic",Humans,U40714,P54577,DB01766; DB03978; DB07205; DB08371; DB08617,5
BE0003739,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,Humans,U49070,Q13526,DB01766; DB06867,2
BE0001065,Glycogen synthase kinase-3 beta,Humans,L33801,P49841,DB01772; DB01793; DB01950; DB02010; DB02052; DB03444; DB04014; DB04395; DB07014; DB07058; DB07149; DB07584; DB07585; DB07676; DB07812; DB07859; DB07947; DB08073; DB14508,19
BE0003491,Insulin,Humans,AJ009655,P01308,DB01776; DB08231,2
BE0004570,14-3-3 protein epsilon,Humans,L01654,P62258,DB01780,1
BE0001097,Mitogen-activated protein kinase 10,Humans,U07620,P53779,DB01782; DB02388; DB03084; DB03623; DB04395; DB06933; DB07010; DB07217; DB08005; DB08010; DB08011; DB08015; DB08021; DB08023; DB08025; DB08026; DB08555,17
BE0003789,C-Jun-amino-terminal kinase-interacting protein 1,Humans,AF074091,Q9UQF2,DB01782; DB07218; DB07272; DB07276,4
BE0003790,Mitogen-activated protein kinase 8,Humans,L26318,P45983,DB01782; DB07218; DB07268; DB07272; DB07276; DB07845,6
BE0003791,Dual specificity protein kinase TTK,Humans,M86699,P33981,DB01782,1
BE0000776,Farnesyl pyrophosphate synthase,Humans,J05262,P14324,DB01785; DB02508; DB02552; DB04714; DB07780; DB07841,6
BE0004044,Isopentenyl-diphosphate Delta-isomerase 1,Humans,X17025,Q13907,DB01785,1
